CODE|NAME|DESCRIPTION
HAVEN|HVN|HVN
HEATH|HTH|HTH
HEIGHTS|HTS|HTS
HIGHROAD|HIRD|HIRD
HIGHWAY|HWY|HWY
HILL|HILL|HILL
HOLLOW|HLLW|HLLW
HUB|HUB|HUB
INLET|INLT|INLT
INTERCHANGE|INTG|INTG
ISLAND|ID|ID
JUNCTION|JNC|JNC
KEY|KEY|KEY
KEYS|KEYS|KEYS
KNOLL|KNOL|KNOL
LADDER|LADR|LADR
LANDING|LDG|LDG
LANE|LANE|LANE
LANEWAY|LNWY|LNWY
LEADER|LEDR|LEDR
LINE|LINE|LINE
LINK|LINK|LINK
LOOKOUT|LKT|LKT
LOOP|LOOP|LOOP
LYNNE|LYNN|LYNN
MALL|MALL|MALL
MANOR|MANR|MANR
MEAD|MEAD|MEAD
MEANDER|MNDR|MNDR
MEW|MEW|MEW
MEWS|MEWS|MEWS
MILE|MILE|MILE
MOTORWAY|MTWY|MTWY
NOOK|NOOK|NOOK
NORTH|NTH|NTH
NULL|NULL|NULL
OUTLET|OTLT|OTLT
OUTLOOK|OTLK|OTLK
OVAL|OVAL|OVAL
PALMS|PLMS|PLMS
PARADE|PDE|PDE
PARADISE|PRDS|PRDS
PARK|PARK|PARK
PARKWAY|PWY|PWY
PASS|PASS|PASS
PASSAGE|PSGE|PSGE
PATH|PATH|PATH
PATHWAY|PWAY|PWAY
PENINSULA|PSLA|PSLA
PIAZZA|PIAZ|PIAZ
PLACE|PL|PL
PLAZA|PLZA|PLZA
POCKET|PKT|PKT
POINT|PNT|PNT
PORT|PORT|PORT
PROMENADE|PROM|PROM
PURSUIT|PRST|PRST
QUAD|QUAD|QUAD
QUADRANT|QDRT|QDRT
QUAY|QY|QY
QUAYS|QYS|QYS
RAMBLE|RMBL|RMBL
RAMP|RAMP|RAMP
RANGE|RNGE|RNGE
REACH|RCH|RCH
REEF|REEF|REEF
RESERVE|RES|RES
REST|REST|REST
RETREAT|RTT|RTT
RETURN|RTN|RTN
RIDE|RIDE|RIDE
RIDGE|RDGE|RDGE
RING|RING|RING
RISE|RISE|RISE
RISING|RSNG|RSNG
RIVER|RVR|RVR
ROAD|RD|RD
ROADS|RDS|RDS
ROADWAY|RDWY|RDWY
ROTARY|RTY|RTY
ROUND|RND|RND
ROUTE|RTE|RTE
ROW|ROW|ROW
ROWE|ROWE|ROWE
RUE|RUE|RUE
RUN|RUN|RUN
SERVICEWAY|SVWY|SVWY
SKYLINE|SKLN|SKLN
SLOPE|SLPE|SLPE
SOUTH|STH|STH
SPUR|SPUR|SPUR
SQUARE|SQ|SQ
STEPS|STPS|STPS
STRAIGHT|STRT|STRT
STRAIT|STAI|STAI
STRAND|STRA|STRA
STREET|ST|ST
STRIP|STRP|STRP
SUBWAY|SBWY|SBWY
TARN|TARN|TARN
TERRACE|TCE|TCE
THOROUGHFARE|THFR|THFR
THROUGHWAY|THRU|THRU
TOLLWAY|TLWY|TLWY
TOP|TOP|TOP
TOR|TOR|TOR
TRACK|TRK|TRK
TRAIL|TRL|TRL
TRAMWAY|TMWY|TMWY
TRUNKWAY|TKWY|TKWY
TUNNEL|TUNL|TUNL
TURN|TURN|TURN
UNDERPASS|UPAS|UPAS
VALE|VALE|VALE
VALLEY|VLLY|VLLY
VERGE|VERGE|VERGE
VIADUCT|VIAD|VIAD
VIEW|VIEW|VIEW
VIEWS|VWS|VWS
VILLAGE|VLGE|VLGE
VILLAS|VLLS|VLLS
VISTA|VSTA|VSTA
VUE|VUE|VUE
WADE|WADE|WADE
WALK|WALK|WALK
WALKWAY|WKWY|WKWY
WATERS|WTRS|WTRS
WATERWAY|WTWY|WTWY
WAY|WAY|WAY
WHARF|WHRF|WHRF
WOODS|WDS|WDS
WYND|WYND|WYND
YARD|YARD|YARD
TWIST|TWIST|TWIST
DASH|DASH|DASH
HILLS|HILLS|HILLS
LEAD|LEAD|LEAD
BUSWAY|BSWY|BSWY
FLATS|FLTS|FLTS
MAZE|MZ|MZ
HIKE|HIKE|HIKE
CONNECTOR|CONR|CONR
BOUNDARY|BDY|BDY
CROSSOVER|CRVR|CRVR
LINKWAY|LNKWAY|LNKWAY
ANNEX|ANNEX|ANNEX
BIDI|BIDI|BIDI
YARDS|YARDS|YARDS
NEST|NEST|NEST
SIDING|SDNG|SDNG
PERCH|PRCH|PRCH
